price,games_played,goals,assists,goal_contributions,total_points,points_per_game,roi,position,team,minutes,FDR_Ave
5.0,0,0,0,0,2,1.0,0.4,FWD,Southampton,37,-0.07017543859649122
4.5,0,0,0,0,0,0.0,0.0,MID,Southampton,0,-0.07017543859649122
4.9,0,0,0,0,0,0.0,0.0,MID,Southampton,0,-0.07017543859649122
4.9,0,0,0,0,1,1.0,0.2041,MID,Southampton,9,-0.07017543859649122
4.5,0,0,0,0,1,1.0,0.2222,MID,Southampton,9,-0.07017543859649122
5.0,2,0,0,0,4,2.0,0.8,MID,Southampton,144,-0.07017543859649122
5.5,2,0,0,0,3,1.5,0.5455,FWD,Southampton,160,-0.07017543859649122
4.5,0,0,0,0,0,0.0,0.0,GK,Southampton,0,-0.07017543859649122
4.0,2,0,0,0,3,1.5,0.75,DEF,Southampton,170,-0.07017543859649122
4.0,0,0,0,0,0,0.0,0.0,DEF,Southampton,0,-0.07017543859649122
4.0,0,0,0,0,0,0.0,0.0,DEF,Southampton,0,-0.07017543859649122
4.5,0,0,0,0,0,0.0,0.0,MID,Southampton,0,-0.07017543859649122
4.9,0,0,0,0,1,0.5,0.2041,MID,Southampton,64,-0.07017543859649122
4.0,0,0,0,0,0,0.0,0.0,DEF,Southampton,0,-0.07017543859649122
4.0,2,0,0,0,3,1.5,0.75,DEF,Southampton,165,-0.07017543859649122
5.0,0,0,0,0,0,0.0,0.0,MID,Southampton,0,-0.07017543859649122
5.0,0,0,0,0,0,0.0,0.0,MID,Southampton,0,-0.07017543859649122
4.0,0,0,0,0,0,0.0,0.0,DEF,Southampton,0,-0.07017543859649122
4.0,0,0,0,0,0,0.0,0.0,GK,Southampton,0,-0.07017543859649122
4.0,0,0,0,0,0,0.0,0.0,GK,Southampton,0,-0.07017543859649122
4.4,0,0,0,0,0,0.0,0.0,DEF,Southampton,0,-0.07017543859649122
5.0,0,0,0,0,0,0.0,0.0,FWD,Southampton,0,-0.07017543859649122
4.5,2,0,0,0,6,3.0,1.333,GK,Southampton,180,-0.07017543859649122
5.0,0,0,0,0,0,0.0,0.0,FWD,Southampton,0,-0.07017543859649122
5.0,2,0,0,0,4,2.0,0.8,MID,Southampton,173,-0.07017543859649122
4.0,2,0,0,0,3,1.5,0.75,DEF,Southampton,180,-0.07017543859649122
4.5,0,0,0,0,0,0.0,0.0,FWD,Southampton,0,-0.07017543859649122
4.5,2,0,0,0,3,1.5,0.6667,DEF,Southampton,116,-0.07017543859649122
4.0,0,0,0,0,1,1.0,0.25,DEF,Southampton,14,-0.07017543859649122
4.5,2,0,0,0,4,2.0,0.8889,DEF,Southampton,170,-0.07017543859649122
4.0,0,0,0,0,0,0.0,0.0,DEF,Southampton,0,-0.07017543859649122
4.9,0,0,0,0,0,0.0,0.0,MID,Southampton,0,-0.07017543859649122
5.0,2,0,0,0,3,1.5,0.6,MID,Southampton,180,-0.07017543859649122
5.5,2,0,0,0,3,1.5,0.5455,MID,Southampton,160,-0.07017543859649122
4.5,0,0,0,0,2,1.0,0.4444,MID,Southampton,26,-0.07017543859649122
5.0,0,0,0,0,1,1.0,0.2,MID,Southampton,14,-0.07017543859649122
7.5,1,0,0,0,2,2.0,0.2667,FWD,Spurs,90,0.06140350877192982
4.0,0,0,0,0,0,0.0,0.0,DEF,Spurs,0,0.06140350877192982
4.0,0,0,0,0,0,0.0,0.0,GK,Spurs,0,0.06140350877192982
5.0,1,0,0,0,1,1.0,0.2,MID,Spurs,77,0.06140350877192982
4.5,0,0,0,0,2,1.0,0.4444,MID,Spurs,23,0.06140350877192982
5.0,1,1,0,1,9,9.0,1.8,MID,Spurs,71,0.06140350877192982
5.0,0,0,0,0,0,0.0,0.0,MID,Spurs,0,0.06140350877192982
4.5,0,0,0,0,0,0.0,0.0,DEF,Spurs,0,0.06140350877192982
4.5,0,0,0,0,0,0.0,0.0,MID,Spurs,0,0.06140350877192982
4.4,0,0,0,0,0,0.0,0.0,DEF,Spurs,0,0.06140350877192982
4.5,0,0,0,0,0,0.0,0.0,DEF,Spurs,0,0.06140350877192982
4.5,0,0,0,0,0,0.0,0.0,GK,Spurs,0,0.06140350877192982
4.9,0,0,0,0,2,1.0,0.4082,MID,Spurs,30,0.06140350877192982
5.0,0,0,0,0,0,0.0,0.0,MID,Spurs,0,0.06140350877192982
6.4,2,0,0,0,5,2.5,0.7812,MID,Spurs,167,0.06140350877192982
6.4,1,0,1,1,7,3.5,1.094,MID,Spurs,77,0.06140350877192982
4.9,0,0,0,0,0,0.0,0.0,MID,Spurs,0,0.06140350877192982
7.5,2,0,2,2,11,5.5,1.467,MID,Spurs,156,0.06140350877192982
5.5,2,1,0,1,15,7.5,2.727,DEF,Spurs,180,0.06140350877192982
4.4,0,0,0,0,0,0.0,0.0,DEF,Spurs,0,0.06140350877192982
7.0,0,0,0,0,2,1.0,0.2857,FWD,Spurs,25,0.06140350877192982
5.1,2,1,0,1,16,8.0,3.137,DEF,Spurs,180,0.06140350877192982
4.9,1,0,0,0,3,1.5,0.6122,MID,Spurs,100,0.06140350877192982
4.5,0,0,0,0,0,0.0,0.0,FWD,Spurs,0,0.06140350877192982
5.4,0,0,0,0,0,0.0,0.0,MID,Spurs,0,0.06140350877192982
10.0,2,2,0,2,18,9.0,1.8,MID,Spurs,180,0.06140350877192982
4.5,0,0,0,0,2,1.0,0.4444,DEF,Spurs,18,0.06140350877192982
5.0,2,0,0,0,8,4.0,1.6,DEF,Spurs,162,0.06140350877192982
4.5,2,0,1,1,11,5.5,2.444,DEF,Spurs,180,0.06140350877192982
5.0,0,0,0,0,0,0.0,0.0,FWD,Spurs,0,0.06140350877192982
5.0,2,0,0,0,8,4.0,1.6,GK,Spurs,180,0.06140350877192982
6.4,0,0,0,0,1,1.0,0.1562,MID,Spurs,12,0.06140350877192982
4.0,0,0,0,0,0,0.0,0.0,GK,Spurs,0,0.06140350877192982
4.5,0,0,0,0,0,0.0,0.0,FWD,Spurs,0,0.06140350877192982
4.5,0,0,0,0,0,0.0,0.0,MID,Spurs,0,0.06140350877192982
5.5,1,0,0,0,3,3.0,0.5455,MID,Spurs,65,0.06140350877192982
4.5,0,0,0,0,1,1.0,0.2222,DEF,West Ham,28,0.02631578947368421
5.0,0,0,0,0,1,1.0,0.2,MID,West Ham,12,0.02631578947368421
5.5,2,0,0,0,4,2.0,0.7273,FWD,West Ham,133,0.02631578947368421
4.5,2,0,0,0,7,3.5,1.556,GK,West Ham,180,0.02631578947368421
7.5,2,1,0,1,10,5.0,1.333,MID,West Ham,162,0.02631578947368421
4.5,2,0,0,0,7,3.5,1.556,DEF,West Ham,146,0.02631578947368421
4.0,0,0,0,0,1,1.0,0.25,DEF,West Ham,1,0.02631578947368421
4.5,0,0,0,0,0,0.0,0.0,MID,West Ham,0,0.02631578947368421
