name,price,team,goals,assists,goal_contributions,games_played,minutes,total_points,points_per_game,roi,roi_per_gw,position
Bissouma,£5.0,Spurs,0,0,0,26,2070,44,1.6,8.8,0.3384615384615385,MID
Bryan,£5.0,Spurs,0,0,0,2,200,12,1.1,2.4,1.2,MID
Davies,£4.5,Spurs,1,2,3,12,1085,34,2.0,7.556,0.6296666666666667,DEF
Dragusin,£4.5,Spurs,0,0,0,4,424,14,1.6,3.111,0.77775,DEF
E.Royal,£4.5,Spurs,1,0,1,11,1152,27,1.2,6.0,0.5454545454545454,DEF
Højbjerg,£5.0,Spurs,0,0,0,8,1289,39,1.1,7.8,0.975,MID
Johnson,£6.5,Spurs,5,12,17,26,2317,131,3.7,20.15,0.7749999999999999,MID
Kulusevski,£6.5,Spurs,8,3,11,31,2759,130,3.6,20.0,0.6451612903225806,MID
Lo Celso,£5.0,Spurs,2,2,4,4,491,47,2.1,9.4,2.35,MID
Maddison,£7.5,Spurs,4,11,15,26,2137,117,4.2,15.6,0.6,MID
Pedro Porro,£5.5,Spurs,3,8,11,35,3090,136,3.9,24.73,0.7065714285714286,DEF
Reguilón,£4.5,Spurs,0,6,6,18,1524,74,3.0,16.44,0.9133333333333334,DEF
Richarlison,£7.0,Spurs,11,4,15,18,1481,122,4.4,17.43,0.9683333333333333,FWD
Romero,£5.0,Spurs,5,0,5,33,2790,107,3.2,21.4,0.6484848484848484,DEF
P.Sarr,£5.0,Spurs,3,3,6,27,2063,86,2.5,17.2,0.637037037037037,MID
Scarlett,£4.5,Spurs,0,0,0,0,19,4,1.0,0.8889,0.0,FWD
Skipp,£5.0,Spurs,0,0,0,5,691,22,1.0,4.4,0.8800000000000001,MID
Solomon,£5.5,Spurs,0,2,2,2,196,14,2.8,2.545,1.2725,MID
Son,£10.0,Spurs,17,10,27,34,2934,213,6.1,21.3,0.6264705882352941,MID
Udogie,£5.0,Spurs,2,3,5,28,2391,79,2.8,15.8,0.5642857142857143,DEF
Van de Ven,£4.5,Spurs,3,0,3,27,2341,81,3.0,18.0,0.6666666666666666,DEF
Veliz,£5.0,Spurs,1,0,1,0,45,11,1.4,2.2,0.0,FWD
Vicario,£5.0,Spurs,0,0,0,38,3420,112,2.9,22.4,0.5894736842105263,GK
Werner,£6.5,Spurs,2,4,6,10,808,46,3.5,7.077,0.7077,MID
Moore,£4.5,Spurs,0,0,0,0,3,2,1.0,0.4444,0.0,MID
Wan-Bissaka,£4.5,West Ham,0,2,2,20,1778,47,2.1,10.44,0.522,DEF
Álvarez,£5.0,West Ham,1,1,2,28,2375,62,2.0,12.4,0.4428571428571429,MID
Antonio,£5.5,West Ham,6,2,8,21,1692,78,3.0,14.18,0.6752380952380952,FWD
