name,price,games_played,goals,assists,goal_contributions,total_points,points_per_game,roi,position,team,minutes,FDR_Average
Diaby,6.5,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.175
Diego Carlos,4.5,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.175
Digne,4.6,4,0,2,2,15,3.8,3.261,DEF,Aston Villa,306,0.175
Dobbin,5.0,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.175
Duran,6.1,0,3,0,3,20,5.0,3.279,FWD,Aston Villa,103,0.175
Gauci,4.0,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.175
Hause,4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.175
Iling Jr,5.4,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.175
Kamara,5.0,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.175
Kesler-Hayden,4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.175
Konsa,4.5,4,0,0,0,6,1.5,1.333,DEF,Aston Villa,360,0.175
Maatsen,4.9,0,0,0,0,4,1.0,0.8163,DEF,Aston Villa,62,0.175
Marschall,4.0,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.175
Martinez,5.0,4,0,0,0,6,1.5,1.2,GK,Aston Villa,360,0.175
McGinn,5.4,4,0,0,0,8,2.0,1.481,MID,Aston Villa,304,0.175
Mings,4.4,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.175
Nedeljkovic,4.0,0,0,0,0,3,1.0,0.75,DEF,Aston Villa,93,0.175
Olsen,4.5,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.175
Pau,4.5,4,0,0,0,6,1.5,1.333,DEF,Aston Villa,360,0.175
Ramsey,5.5,1,0,1,1,9,2.2,1.636,MID,Aston Villa,184,0.175
Rogers,5.1,4,0,0,0,8,2.0,1.569,MID,Aston Villa,360,0.175
Sinisalo,4.0,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.175
Sousa,4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.175
Tielemans,5.5,4,0,1,1,12,3.0,2.182,MID,Aston Villa,360,0.175
Watkins,9.0,4,2,1,3,22,5.5,2.444,FWD,Aston Villa,268,0.175
Onana,5.2,4,2,0,2,21,5.2,4.038,MID,Aston Villa,271,0.175
Jaden,5.3,0,0,0,0,1,0.5,0.1887,MID,Aston Villa,17,0.175
Bogarde,4.0,2,0,0,0,2,1.0,0.5,DEF,Aston Villa,168,0.175
Swinkels,4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.175
Zych,4.0,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.175
Young,4.5,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.175
Aarons,4.4,0,0,0,0,0,0.0,0.0,DEF,Bournemouth,0,-0.044
Adams,4.9,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,-0.044
Anthony,4.5,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,-0.044
Brooks,4.9,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,-0.044
Christie,4.9,3,0,0,0,7,1.8,1.429,MID,Bournemouth,222,-0.044
Cook,5.0,4,1,0,1,11,2.8,2.2,MID,Bournemouth,353,-0.044
Enes Ünal,5.4,0,0,0,0,1,1.0,0.1852,FWD,Bournemouth,7,-0.044
Faivre,5.0,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,-0.044
H.Traorè,4.5,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,-0.044
Hill,4.0,0,0,0,0,0,0.0,0.0,DEF,Bournemouth,0,-0.044
Jebbison,4.5,0,0,0,0,2,1.0,0.4444,FWD,Bournemouth,26,-0.044
Kerkez,4.5,4,0,0,0,6,1.5,1.333,DEF,Bournemouth,335,-0.044
Kluivert,5.4,3,0,1,1,10,2.5,1.852,MID,Bournemouth,261,-0.044
Mepham,4.4,0,0,0,0,0,0.0,0.0,DEF,Bournemouth,0,-0.044
O.Dango,5.0,1,0,1,1,7,2.3,1.4,MID,Bournemouth,110,-0.044
Paulsen,4.0,0,0,0,0,0,0.0,0.0,GK,Bournemouth,0,-0.044
Philip,4.8,0,0,0,0,2,1.0,0.4167,MID,Bournemouth,21,-0.044
Scott,4.9,1,0,0,0,5,1.2,1.02,MID,Bournemouth,134,-0.044
Semenyo,5.6,4,2,1,3,20,5.0,3.571,MID,Bournemouth,360,-0.044
Senesi,4.9,3,0,0,0,3,1.0,0.6122,DEF,Bournemouth,256,-0.044
Sinisterra,5.0,1,1,1,2,15,3.8,3.0,MID,Bournemouth,128,-0.044
Smith,4.5,2,0,0,0,9,2.2,2.0,DEF,Bournemouth,153,-0.044
Tavernier,5.5,4,1,0,1,16,4.0,2.909,MID,Bournemouth,346,-0.044
Travers,4.4,1,0,0,0,2,2.0,0.4545,GK,Bournemouth,90,-0.044
Zabarnyi,4.5,4,0,0,0,7,1.8,1.556,DEF,Bournemouth,360,-0.044
Arrizabalaga,4.5,1,0,0,0,3,3.0,0.6667,GK,Bournemouth,90,-0.044
Huijsen,4.5,1,0,0,0,3,1.5,0.6667,DEF,Bournemouth,103,-0.044
J.Araujo,4.5,2,0,0,0,5,1.2,1.111,DEF,Bournemouth,203,-0.044
Dennis,4.0,0,0,0,0,0,0.0,0.0,GK,Bournemouth,0,-0.044
Evanilson,5.9,3,0,0,0,4,1.3,0.678,FWD,Bournemouth,202,-0.044
Ajer,4.5,4,0,0,0,5,1.2,1.111,DEF,Brentford,289,0.009
Brierley,4.5,0,0,0,0,0,0.0,0.0,MID,Brentford,0,0.009
Collins,4.5,4,0,2,2,12,3.0,2.667,DEF,Brentford,360,0.009
Damsgaard,5.0,2,0,0,0,7,1.8,1.4,MID,Brentford,204,0.009
Dasilva,4.9,0,0,0,0,0,0.0,0.0,MID,Brentford,0,0.009
Flekken,4.5,4,0,0,0,12,3.0,2.667,GK,Brentford,360,0.009
Henry,4.4,0,0,0,0,0,0.0,0.0,DEF,Brentford,0,0.009
Hickey,4.4,0,0,0,0,0,0.0,0.0,DEF,Brentford,0,0.009
Janelt,4.9,4,0,0,0,9,2.2,1.837,MID,Brentford,290,0.009
Jensen,5.4,3,0,1,1,9,3.0,1.667,MID,Brentford,238,0.009
Ji-soo,4.0,0,0,0,0,0,0.0,0.0,DEF,Brentford,0,0.009
Konak,4.5,0,0,0,0,0,0.0,0.0,MID,Brentford,0,0.009
Lewis-Potter,5.0,2,0,0,0,6,1.5,1.2,MID,Brentford,186,0.009
Mbeumo,7.1,4,3,0,3,26,6.5,3.662,MID,Brentford,359,0.009
Mee,4.4,0,0,0,0,1,1.0,0.2273,DEF,Brentford,1,0.009
Nørgaard,4.9,4,0,0,0,7,1.8,1.429,MID,Brentford,360,0.009
Onyeka,4.9,0,0,0,0,2,1.0,0.4082,MID,Brentford,23,0.009
Peart-Harris,4.5,0,0,0,0,0,0.0,0.0,MID,Brentford,0,0.009
Pinnock,4.5,4,0,0,0,3,0.8,0.6667,DEF,Brentford,360,0.009
Roerslev,4.5,2,0,0,0,5,1.2,1.111,DEF,Brentford,249,0.009
Schade,5.4,2,0,1,1,10,2.5,1.852,MID,Brentford,209,0.009
Thiago,5.9,0,0,0,0,0,0.0,0.0,FWD,Brentford,0,0.009
Toney,7.3,0,0,0,0,0,0.0,0.0,FWD,Brentford,0,0.009
Valdimarsson,4.0,0,0,0,0,0,0.0,0.0,GK,Brentford,0,0.009
Wissa,6.1,4,3,1,4,28,7.0,4.59,FWD,Brentford,290,0.009
Yarmoliuk,4.5,0,0,0,0,1,1.0,0.2222,MID,Brentford,6,0.009
Zanka,4.5,0,0,0,0,0,0.0,0.0,DEF,Brentford,0,0.009
Carvalho,4.8,0,0,0,0,4,1.0,0.8333,MID,Brentford,56,0.009
Van den Berg,4.0,1,0,0,0,2,1.0,0.5,DEF,Brentford,105,0.009
Trevitt,4.5,0,0,0,0,0,0.0,0.0,MID,Brentford,0,0.009
G.Nunes,5.0,0,0,0,0,0,0.0,0.0,MID,Brentford,0,0.009
Meghoma,4.0,0,0,0,0,0,0.0,0.0,DEF,Brentford,0,0.009
Adingra,5.5,0,1,1,2,12,3.0,2.182,MID,Brighton,73,0.123
Baker-Boaitey,4.5,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.123
Baleba,5.0,2,0,0,0,6,2.0,1.2,MID,Brighton,197,0.123
Barco,4.0,0,0,0,0,0,0.0,0.0,DEF,Brighton,0,0.123
Cozier-Duberry,4.5,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.123
Dahoud,4.9,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.123
Dunk,4.6,4,0,0,0,16,4.0,3.478,DEF,Brighton,345,0.123
Enciso,5.4,0,0,0,0,3,1.0,0.5556,MID,Brighton,39,0.123
Estupiñan,5.0,0,0,0,0,1,1.0,0.2,DEF,Brighton,18,0.123
Ferguson,5.5,0,0,0,0,1,1.0,0.1818,FWD,Brighton,5,0.123
Gilmour,5.0,1,0,0,0,3,1.5,0.6,MID,Brighton,97,0.123
Gross,6.5,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.123
Hinshelwood,5.0,4,0,0,0,9,2.2,1.8,MID,Brighton,336,0.123
I.Osman,5.0,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.123
Igor,4.4,0,0,0,0,0,0.0,0.0,DEF,Brighton,0,0.123
João Pedro,5.7,3,2,0,2,18,6.0,3.158,FWD,Brighton,261,0.123
Kozlowski,4.5,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.123
Lamptey,4.5,0,0,0,0,0,0.0,0.0,DEF,Brighton,0,0.123
March,6.5,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.123
Mazilu,4.5,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.123
Milner,5.0,3,0,0,0,5,1.7,1.0,MID,Brighton,169,0.123
Minteh,5.5,4,0,2,2,12,3.0,2.182,MID,Brighton,272,0.123
Mitoma,6.7,4,1,1,2,19,4.8,2.836,MID,Brighton,351,0.123
Moder,4.4,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.123
O’Mahony,4.5,0,0,0,0,0,0.0,0.0,FWD,Brighton,0,0.123
Offiah,4.0,0,0,0,0,0,0.0,0.0,DEF,Brighton,0,0.123
Peupion,4.5,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.123
Sarmiento,4.9,0,0,0,0,1,1.0,0.2041,MID,Brighton,8,0.123
Steele,4.5,2,0,0,0,9,4.5,2.0,GK,Brighton,180,0.123
Undav,5.5,0,0,0,0,0,0.0,0.0,FWD,Brighton,0,0.123
Van Hecke,4.5,4,0,0,0,15,3.8,3.333,DEF,Brighton,360,0.123
Veltman,4.5,4,0,0,0,19,4.8,4.222,DEF,Brighton,341,0.123
Verbruggen,4.5,2,0,0,0,9,4.5,2.0,GK,Brighton,180,0.123
Webster,4.4,0,0,0,0,1,1.0,0.2273,DEF,Brighton,14,0.123
Welbeck,5.8,4,2,1,3,25,6.2,4.31,FWD,Brighton,336,0.123
Wieffer,4.9,1,0,1,1,6,6.0,1.224,MID,Brighton,90,0.123
Gruda,5.4,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.123
Ayari,5.0,1,0,0,0,7,1.8,1.4,MID,Brighton,165,0.123
Moran,5.0,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.123
Rushworth,4.0,0,0,0,0,0,0.0,0.0,GK,Brighton,0,0.123
Georginio,5.5,1,0,0,0,5,1.7,0.9091,MID,Brighton,85,0.123
F.Kadıoğlu,4.5,0,0,0,0,1,1.0,0.2222,DEF,Brighton,23,0.123
O'Riley,5.5,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.123
Andrey Santos,4.5,0,0,0,0,0,0.0,0.0,MID,Chelsea,0,0.07
Ângelo,4.5,0,0,0,0,0,0.0,0.0,MID,Chelsea,0,0.07
B.Badiashile,4.4,0,0,0,0,0,0.0,0.0,DEF,Chelsea,0,0.07
Bergström,4.0,0,0,0,0,0,0.0,0.0,GK,Chelsea,0,0.07
Bettinelli,4.0,0,0,0,0,0,0.0,0.0,GK,Chelsea,0,0.07
Caicedo,4.9,4,0,0,0,8,2.0,1.633,MID,Chelsea,345,0.07
Casadei,4.5,0,0,0,0,0,0.0,0.0,MID,Chelsea,0,0.07
Chilwell,4.8,0,0,0,0,0,0.0,0.0,DEF,Chelsea,0,0.07
Chukwuemeka,4.9,0,0,0,0,0,0.0,0.0,MID,Chelsea,0,0.07
Colwill,4.5,4,0,0,0,9,2.2,2.0,DEF,Chelsea,360,0.07
Cucurella,5.0,4,0,0,0,9,2.2,1.8,DEF,Chelsea,341,0.07
D.D.Fofana,5.4,0,0,0,0,0,0.0,0.0,FWD,Chelsea,0,0.07
Deivid,5.0,0,0,0,0,0,0.0,0.0,FWD,Chelsea,0,0.07
Dewsbury-Hall,5.8,0,0,0,0,2,1.0,0.3448,MID,Chelsea,38,0.07
Disasi,4.4,1,0,0,0,6,6.0,1.364,DEF,Chelsea,61,0.07
Enzo,5.0,3,0,0,0,6,2.0,1.2,MID,Chelsea,270,0.07
Gallagher,5.9,0,0,0,0,0,0.0,0.0,MID,Chelsea,0,0.07
Gilchrist,4.0,0,0,0,0,0,0.0,0.0,DEF,Chelsea,0,0.07
