name,price,team,goals,assists,goal_contributions,games_played,minutes,total_points,points_per_game,roi,position,FDR_Average
Henderson,4.5,Crystal Palace,0,0,0,18,1620,48,2.7,10.67,GK,-1.3684210526315788
Hughes,5.0,Crystal Palace,0,2,2,23,1886,61,2.0,12.2,MID,-1.3684210526315788
Johnstone,4.5,Crystal Palace,0,0,0,20,1796,68,3.4,15.11,GK,-1.3684210526315788
Lerma,5.0,Crystal Palace,1,1,2,27,2399,64,2.3,12.8,MID,-1.3684210526315788
Mateta,7.5,Crystal Palace,16,7,23,25,2274,165,4.7,22.0,FWD,-1.3684210526315788
M.França,4.5,Crystal Palace,0,2,2,1,224,16,1.6,3.556,MID,-1.3684210526315788
Matthews,4.0,Crystal Palace,0,0,0,0,3,1,1.0,0.25,GK,-1.3684210526315788
Mitchell,5.0,Crystal Palace,2,3,5,37,3204,119,3.2,23.8,DEF,-1.3684210526315788
Muñoz,5.0,Crystal Palace,0,4,4,16,1440,56,3.5,11.2,DEF,-1.3684210526315788
Ozoh,4.5,Crystal Palace,0,0,0,0,148,8,0.9,1.778,MID,-1.3684210526315788
Rak-Sakyi,4.5,Crystal Palace,0,0,0,0,132,8,1.3,1.778,MID,-1.3684210526315788
Schlupp,5.0,Crystal Palace,2,2,4,17,1340,66,2.3,13.2,MID,-1.3684210526315788
Ward,4.5,Crystal Palace,0,1,1,23,1978,54,2.1,12.0,DEF,-1.3684210526315788
Wharton,5.0,Crystal Palace,0,3,3,15,1296,50,3.1,10.0,MID,-1.3684210526315788
A.Doucoure,5.5,Everton,7,3,10,32,2632,116,3.6,21.09,MID,-1.7192982456140358
Beto,5.0,Everton,3,0,3,9,943,50,1.7,10.0,FWD,-1.7192982456140358
Branthwaite,5.0,Everton,3,1,4,35,3116,124,3.5,24.8,DEF,-1.7192982456140358
Calvert-Lewin,6.0,Everton,7,3,10,26,2166,101,3.2,16.83,FWD,-1.7192982456140358
Coleman,4.5,Everton,0,0,0,7,661,30,2.5,6.667,DEF,-1.7192982456140358
Gana,5.0,Everton,4,0,4,24,1885,73,2.9,14.6,MID,-1.7192982456140358
Garner,5.0,Everton,1,2,3,34,3001,87,2.4,17.4,MID,-1.7192982456140358
Harrison,5.5,Everton,3,3,6,25,2212,92,3.2,16.73,MID,-1.7192982456140358
Holgate,4.0,Everton,0,0,0,9,711,1,0.1,0.25,DEF,-1.7192982456140358
Iroegbunam,4.5,Everton,0,0,0,1,157,10,1.1,2.222,MID,-1.7192982456140358
Keane,4.0,Everton,1,0,1,4,437,18,2.0,4.5,DEF,-1.7192982456140358
Maupay,5.0,Everton,6,3,9,14,1417,76,2.5,15.2,FWD,-1.7192982456140358
McNeil,5.5,Everton,3,8,11,33,2891,124,3.5,22.55,MID,-1.7192982456140358
Mykolenko,4.5,Everton,2,1,3,28,2469,101,3.6,22.44,DEF,-1.7192982456140358
Patterson,4.5,Everton,0,2,2,9,1000,34,1.7,7.556,DEF,-1.7192982456140358
Pickford,5.0,Everton,0,0,0,38,3420,153,4.0,30.6,GK,-1.7192982456140358
Tarkowski,5.0,Everton,1,1,2,38,3420,117,3.1,23.4,DEF,-1.7192982456140358
Y. Chermiti,5.0,Everton,0,0,0,1,196,16,0.9,3.2,FWD,-1.7192982456140358
Young,4.5,Everton,0,1,1,27,2277,76,2.5,16.89,DEF,-1.7192982456140358
Smith Rowe,5.5,Fulham,0,2,2,3,343,25,1.9,4.545,MID,-2.0701754385964906
Adama,5.0,Fulham,2,3,5,1,363,36,2.1,7.2,MID,-2.0701754385964906
Andreas,5.5,Fulham,3,9,12,34,2611,127,3.4,23.09,MID,-2.0701754385964906
Bassey,4.5,Fulham,1,0,1,25,2299,66,2.3,14.67,DEF,-2.0701754385964906
Cairney,5.0,Fulham,1,6,7,14,1472,70,2.1,14.0,MID,-2.0701754385964906
Castagne,4.5,Fulham,1,3,4,29,2630,105,3.1,23.33,DEF,-2.0701754385964906
Diop,4.5,Fulham,0,0,0,16,1423,43,2.4,9.556,DEF,-2.0701754385964906
Harris,4.5,Fulham,0,0,0,0,74,2,2.0,0.4444,MID,-2.0701754385964906
Iwobi,5.5,Fulham,5,2,7,27,2331,102,3.2,18.55,MID,-2.0701754385964906
Leno,5.0,Fulham,0,0,0,38,3420,133,3.5,26.6,GK,-2.0701754385964906
Lukić,5.0,Fulham,1,0,1,13,1113,43,1.8,8.6,MID,-2.0701754385964906
Muniz,6.0,Fulham,9,2,11,18,1589,97,3.7,16.17,FWD,-2.0701754385964906
Raúl,5.5,Fulham,7,0,7,18,1390,72,3.0,13.09,FWD,-2.0701754385964906
Ream,4.5,Fulham,1,0,1,17,1503,40,2.2,8.889,DEF,-2.0701754385964906
Reed,5.0,Fulham,0,2,2,15,1317,47,1.7,9.4,MID,-2.0701754385964906
